id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s17,description,6,0.143,28,15,3,$-bet,,4,--
s17,description,7,0.167,12,8,2,$-bet,,2,--
s17,description,8,0.857,4.7,4,6,p-bet,,4,--
s17,description,9,0.833,2.4,2,5,p-bet,,4,--
s17,description,10,0.857,4.7,4,6,p-bet,,4,--
s17,description,11,0.2,16,10,1,$-bet,,4,--
s17,description,12,0.833,2.4,2,5,p-bet,,4,--
s17,description,13,0.857,4.7,4,6,p-bet,,4,--
s17,description,14,0.833,2.4,2,5,p-bet,,5,--
s17,description,15,0.143,28,18,3,$-bet,,4,--
s17,description,16,0.2,16,10,1,$-bet,,2,--
s17,description,17,0.167,12,8,2,$-bet,,4,--
s17,description,18,0.143,28,16,3,$-bet,,4,--
s18,experience,2,0.8,4,2.5,4,p-bet,30,3,l
s18,experience,3,0.8571429,4.7,2.3,6,p-bet,7,4,xs
s18,experience,4,0.16666667,12,6,2,$-bet,12,5,s
s18,experience,5,0.1428571,28,14.5,3,$-bet,42,2,l
s18,experience,6,0.2,16,8.5,1,$-bet,15,3,m
s18,experience,7,0.1428571,28,5.5,3,$-bet,7,4,xs
s18,experience,9,0.16666667,12,5.3,2,$-bet,18,2,m
s18,experience,10,0.8,4,1.2,4,p-bet,5,3,xs
s18,experience,11,0.1428571,28,12.8,3,$-bet,21,2,m
s18,experience,13,0.16666667,12,7.3,2,$-bet,6,3,xs
s18,experience,14,0.8571429,4.7,2.4,6,p-bet,42,3,l
s18,experience,15,0.2,16,5.9,1,$-bet,5,3,xs
s18,experience,17,0.8333333,2.4,0.4,5,p-bet,12,2,s
s18,experience,18,0.8,4,2.8,4,p-bet,5,3,xs
s18,experience,19,0.8333333,2.4,1.5,5,p-bet,18,3,m
s18,experience,20,0.16666667,12,4.8,2,$-bet,12,3,s
s18,experience,21,0.2,16,7.3,1,$-bet,10,4,s
s18,experience,22,0.8,4,2.2,4,p-bet,15,4,m
s18,experience,23,0.2,16,4.3,1,$-bet,5,4,xs
s18,experience,24,0.8333333,2.4,2,5,p-bet,12,6,s
s18,experience,26,0.8571429,4.7,3.2,6,p-bet,14,3,s
s18,experience,28,0.8,4,1.2,4,p-bet,5,3,xs
s18,experience,29,0.16666667,12,4,2,$-bet,36,3,l
s18,experience,30,0.8,4,2.8,4,p-bet,30,4,l
s18,experience,33,0.8,4,3.2,4,p-bet,10,3,s
s18,experience,34,0.8571429,4.7,3.6,6,p-bet,21,2,m
s18,experience,35,0.1428571,28,16.4,3,$-bet,42,4,l
s18,experience,36,0.1428571,28,14.3,3,$-bet,7,3,xs
s18,experience,37,0.16666667,12,4.5,2,$-bet,36,2,l
s18,experience,38,0.8333333,2.4,1.9,5,p-bet,18,4,m
s18,experience,39,0.8571429,4.7,3.8,6,p-bet,7,4,xs
s18,experience,40,0.8,4,1.9,4,p-bet,30,3,l
s18,experience,41,0.2,16,8.5,1,$-bet,10,3,s
s18,experience,42,0.2,16,5.4,1,$-bet,5,4,xs
s18,experience,43,0.2,16,5.5,1,$-bet,10,4,s
s18,experience,46,0.8333333,2.4,0.2,5,p-bet,6,4,xs
s18,experience,47,0.8333333,2.4,0.6,5,p-bet,18,5,m
s18,experience,48,0.2,16,9.7,1,$-bet,15,4,m
s18,experience,49,0.16666667,12,5.6,2,$-bet,6,4,xs
s18,experience,50,0.1428571,28,19.6,3,$-bet,14,4,s
s18,experience,51,0.8571429,4.7,2.7,6,p-bet,42,4,l
s18,experience,53,0.16666667,12,5.4,2,$-bet,36,4,l
s18,experience,54,0.1428571,28,16.4,3,$-bet,14,4,s
s18,experience,55,0.8571429,4.7,3.2,6,p-bet,42,5,l
s18,experience,56,0.1428571,28,5,3,$-bet,14,5,s
s18,experience,57,0.1428571,28,4.9,3,$-bet,7,5,xs
s18,experience,58,0.8333333,2.4,0.3,5,p-bet,36,5,l
s18,experience,59,0.8333333,2.4,0.5,5,p-bet,6,4,xs
