id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s21,experience,63,0.8333333,2.4,1.8,5,p-bet,18,4,m
s21,experience,64,0.2,16,3.5,1,$-bet,10,4,s
s21,experience,66,0.8,4,2.7,4,p-bet,10,4,s
s21,experience,67,0.8333333,2.4,1.9,5,p-bet,12,5,s
s21,experience,68,0.2,16,4,1,$-bet,10,3,s
s21,experience,69,0.1428571,28,3.5,3,$-bet,21,3,m
s21,experience,70,0.8,4,3,4,p-bet,10,4,s
s21,experience,71,0.8571429,4.7,3.8,6,p-bet,7,3,xs
s21,experience,72,0.8,4,3.2,4,p-bet,30,4,l
s21,experience,73,0.8,4,3.1,4,p-bet,15,4,m
s21,experience,74,0.8333333,2.4,1.9,5,p-bet,36,4,l
s21,experience,75,0.8,4,2.7,4,p-bet,5,4,xs
s21,experience,77,0.1428571,28,6,3,$-bet,14,4,s
s21,experience,78,0.8333333,2.4,1.8,5,p-bet,6,3,xs
s21,experience,79,0.8,4,3,4,p-bet,30,4,l
s21,experience,80,0.1428571,28,5,3,$-bet,14,3,s
s21,experience,81,0.16666667,12,2,2,$-bet,36,4,l
s21,experience,82,0.8,4,3,4,p-bet,5,4,xs
s21,experience,83,0.2,16,3.5,1,$-bet,30,4,l
s21,experience,84,0.2,16,3,1,$-bet,30,3,l
s21,experience,86,0.8333333,2.4,2,5,p-bet,18,4,m
s21,experience,88,0.1428571,28,5,3,$-bet,21,3,m
s21,experience,89,0.2,16,3,1,$-bet,5,3,xs
s21,description,1,0.833,2.4,2,5,p-bet,,4,--
s21,description,2,0.167,12,2,2,$-bet,,4,--
s21,description,3,0.143,28,7,3,$-bet,,4,--
s21,description,4,0.833,2.4,2,5,p-bet,,4,--
s21,description,5,0.857,4.7,4,6,p-bet,,4,--
s21,description,6,0.8,4,3,4,p-bet,,4,--
