id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s74,experience,50,2,$-bet,0.16666667,12,xs,6,4.3,5
s74,experience,51,1,$-bet,0.2,16,xs,5,7.1,2
s74,experience,52,5,p-bet,0.8333333,2.4,xs,6,1.2,2
s74,experience,55,3,$-bet,0.1428571,28,xs,7,9.3,5
s74,experience,57,3,$-bet,0.1428571,28,s,14,12.6,4
s74,experience,58,4,p-bet,0.8,4,xs,5,2.2,4
s74,experience,59,1,$-bet,0.2,16,xs,5,6.8,4
s74,experience,60,4,p-bet,0.8,4,xs,5,3,3
s74,experience,61,1,$-bet,0.2,16,m,15,5.4,4
s74,experience,62,1,$-bet,0.2,16,xs,5,5.4,5
s74,experience,64,4,p-bet,0.8,4,s,10,1,2
s74,experience,66,2,$-bet,0.16666667,12,l,36,4.9,3
s74,experience,68,6,p-bet,0.8571429,4.7,xs,7,2.9,4
s74,experience,69,4,p-bet,0.8,4,l,30,1.9,2
s74,experience,70,4,p-bet,0.8,4,m,15,2.1,2
s74,experience,71,1,$-bet,0.2,16,l,30,5.2,3
s74,experience,73,6,p-bet,0.8571429,4.7,xs,7,2.6,4
s74,experience,74,5,p-bet,0.8333333,2.4,s,12,1.5,4
s74,experience,75,2,$-bet,0.16666667,12,xs,6,5.2,4
s74,experience,77,6,p-bet,0.8571429,4.7,m,21,1.9,4
s74,experience,79,5,p-bet,0.8333333,2.4,l,36,1.2,4
s74,experience,80,5,p-bet,0.8333333,2.4,l,36,1,3
s74,experience,81,5,p-bet,0.8333333,2.4,xs,6,1.3,3
s74,experience,82,2,$-bet,0.16666667,12,xs,6,4.9,3
s74,experience,83,3,$-bet,0.1428571,28,m,21,7.9,4
s74,experience,86,3,$-bet,0.1428571,28,xs,7,8.9,5
s74,experience,88,1,$-bet,0.2,16,m,15,5.9,4
s74,experience,89,1,$-bet,0.2,16,l,30,4.9,4
s74,experience,90,6,p-bet,0.8571429,4.7,l,42,2.1,3
s74,description,1,4,p-bet,0.8,4,--,,2.2,2
s74,description,2,3,$-bet,0.143,28,--,,17.3,4
s74,description,3,5,p-bet,0.833,2.4,--,,0.9,4
s74,description,4,3,$-bet,0.143,28,--,,17.3,4
s74,description,5,6,p-bet,0.857,4.7,--,,2.5,4
s74,description,6,6,p-bet,0.857,4.7,--,,2.3,4
s74,description,7,6,p-bet,0.857,4.7,--,,2.3,4
s74,description,8,2,$-bet,0.167,12,--,,5.4,4
s74,description,9,4,p-bet,0.8,4,--,,1.8,5
s74,description,10,2,$-bet,0.167,12,--,,4.9,4
s74,description,11,4,p-bet,0.8,4,--,,1.9,3
s74,description,12,3,$-bet,0.143,28,--,,24.3,4
s74,description,13,1,$-bet,0.2,16,--,,12.2,4
s74,description,14,1,$-bet,0.2,16,--,,8.9,5
s74,description,15,1,$-bet,0.2,16,--,,6.4,4
s74,description,16,5,p-bet,0.833,2.4,--,,1,4
s74,description,17,2,$-bet,0.167,12,--,,5.8,5
s74,description,18,5,p-bet,0.833,2.4,--,,0.9,4
s75,experience,1,5,p-bet,0.8333333,2.4,s,12,2,4
s75,experience,2,2,$-bet,0.16666667,12,l,36,4,5
s75,experience,3,2,$-bet,0.16666667,12,xs,6,3,5
s75,experience,4,6,p-bet,0.8571429,4.7,xs,7,4,5
s75,experience,7,2,$-bet,0.16666667,12,s,12,4,5
s75,experience,9,1,$-bet,0.2,16,m,15,6,5
s75,experience,10,5,p-bet,0.8333333,2.4,l,36,2.3,5
s75,experience,11,6,p-bet,0.8571429,4.7,s,14,4.5,5
s75,experience,12,2,$-bet,0.16666667,12,l,36,2,5
s75,experience,14,6,p-bet,0.8571429,4.7,xs,7,4.6,5
