id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s78,experience,24,4,p-bet,0.8,4,xs,5,1,2
s78,experience,25,1,$-bet,0.2,16,xs,5,2,2
s78,experience,27,3,$-bet,0.1428571,28,m,21,4,2
s78,experience,28,6,p-bet,0.8571429,4.7,xs,7,4,2
s78,experience,30,1,$-bet,0.2,16,xs,5,3,2
s78,experience,31,1,$-bet,0.2,16,s,10,1,2
s78,experience,32,5,p-bet,0.8333333,2.4,l,36,2,3
s78,experience,33,5,p-bet,0.8333333,2.4,l,36,2.3,4
s78,experience,34,4,p-bet,0.8,4,s,10,2,3
s78,experience,35,6,p-bet,0.8571429,4.7,s,14,3.5,3
s78,experience,36,5,p-bet,0.8333333,2.4,s,12,2,3
s78,experience,37,4,p-bet,0.8,4,s,10,3,3
s78,experience,38,1,$-bet,0.2,16,s,10,3,3
s78,experience,39,4,p-bet,0.8,4,xs,5,1,3
s78,experience,40,2,$-bet,0.16666667,12,l,36,2,3
s78,experience,41,4,p-bet,0.8,4,l,30,3,4
s78,experience,42,5,p-bet,0.8333333,2.4,xs,6,1,3
s78,experience,43,3,$-bet,0.1428571,28,s,14,4,3
s78,experience,44,3,$-bet,0.1428571,28,m,21,4,3
s78,experience,46,6,p-bet,0.8571429,4.7,l,42,4,3
s78,experience,47,3,$-bet,0.1428571,28,xs,7,4,3
s78,experience,48,1,$-bet,0.2,16,m,15,3,3
s78,experience,49,3,$-bet,0.1428571,28,xs,7,6,3
s78,experience,51,2,$-bet,0.16666667,12,s,12,4,2
s78,experience,52,5,p-bet,0.8333333,2.4,m,18,1.5,3
s78,experience,53,5,p-bet,0.8333333,2.4,xs,6,1,3
s78,experience,54,3,$-bet,0.1428571,28,s,14,4,1
s78,experience,55,3,$-bet,0.1428571,28,s,14,4,3
